sides,pi_estimate,pi_error,pi_accuracy,calculation_time,polygon_area,actual_circle_area,accuracy_per_second,error_reduction_rate,time_cost_per_accuracy,efficiency_score
3,1.2990381056766584,1.8425545479131347,0.4134966715663442,9.5367431640625e-06,29228.357377724813,70685.83470577035,43358.268588435094,56908.8172281038,2.306365158378877e-05,17928.49974619748
6,2.5980762113533156,0.5435164422364775,0.826993343132688,1.9073486328125e-06,58456.714755449604,70685.83470577035,433582.68588435074,964622.1517101566,2.3063651583788784e-06,358569.99492394936
12,3.0,0.14159265358979312,0.954929658551372,1.1920928955078125e-06,67500.0,70685.83470577035,801053.0573161307,5924465.561823967,1.248356760974643e-06,764949.3225044254
24,3.1058285412302484,0.035764112359544686,0.988615929465369,7.152557373046875e-07,69881.1421776806,70685.83470577035,1382185.249140105,39092297.86770339,7.234920215087862e-07,1366450.3547719677
50,3.133330839107606,0.008261814482187102,0.9973701827725034,7.152557373046875e-07,70499.94387992113,70685.83470577035,1394424.5823611475,169224488.92403865,7.171416888726408e-07,1390757.5005720092
100,3.139525976465669,0.0020666771241240056,0.9993421562398415,7.152557373046875e-07,70639.33447047755,70685.83470577035,1397181.6010951307,676497222.0447551,7.157265735650869e-07,1396262.473897042
200,3.1410759078128296,0.0005167457769634787,0.9998355147105488,7.152557373046875e-07,70674.20792578867,70685.83470577035,1397871.3662308378,2705588309.882105,7.153734057063908e-07,1397641.436954548
500,3.1415099708381518,8.268275164136085e-05,0.9999736812627357,7.152557373046875e-07,70683.97434385841,70685.83470577035,1398064.5370716725,16909225994.287704,7.15274562427968e-07,1398027.7417784426
1000,3.1415719827794755,2.0670810317646726e-05,0.9999934202767204,9.5367431640625e-07,70685.3696125382,70685.83470577035,1048569.1006600824,50727377586.39427,9.536805913606383e-07,1048562.2013655606
